"reviewer","date_reviewed","star_rating","message","order_id"
"Karen","12/25/2019","5","So cute! They came so fast and are adorable!","1549303157"
"C","12/23/2019","5","","1540490918"
"Meredith","12/23/2019","5","It arrived just in time for the new year! It’s absolutely perfect for my office - just the kind of pun humor I need to break up the work day. The easel is better quality than the one I had before, which is great!","1536180689"
"portiamhunt","12/22/2019","5","Fabulous!  Thank you very much. :)","1549783879"
"Kendrah","12/21/2019","5","","1538123867"
"Chloe Greene","12/21/2019","5","","1540263716"
"Jaime","12/19/2019","5","","1546078531"
"Liberum","12/16/2019","4","My friend loved it! Very cute and nice quality, I also like that each purchase donates to a cause. The only issue was that the spine got bent in a few places during shipping since there's nothing stiff to protect it. Not too noticeable though, and I appreciate that it arrived pretty quickly!","1533892706"
"Emily","12/16/2019","5","Super cute! Can’t wait to gift this","1545727599"
"jaimie","12/14/2019","5","","1534327040"
"beccakemp","12/14/2019","5","Fast shipping, item as described. Would recommend this seller!","1544946857"
"Jessica","12/14/2019","5","These are the cutest bookmarks ever!  I bought myself some at a market last year and was so happy to find them here on Etsy so\nI could buy more as gifts this year!","1546916537"
"Zelie","12/13/2019","5","","1529818763"
"Britrev","12/13/2019","5","Quick shipping! Perfect card!! Thank you again","1545501915"
"Sara","12/12/2019","5","","1518223382"
"edwinaj2","12/11/2019","5","","1525468946"
"Marina","12/09/2019","5","I love it!! It's soooo cute!! Fast shipping.\nThank you! Gracias :)","1529818064"
"Lindsay","12/06/2019","5","Super cute card for my boyfriend!","1523876466"
"ashley","12/05/2019","5","so cute and perfect for the wedding! received very timely :)","1542113743"
"Lizz","12/04/2019","5","Perfect gift for my mother’s in law! I love it.","1538025537"
"Marijke","12/03/2019","5","Very cute, a bit smaller than expected but still very cute☺️","1535183961"
"M","12/02/2019","3","My fault for not noticing before I ordered, but it says “I’ve benedicted to you”.  I think it should be “I’m” unless I’m missing something?  Good quality though.  I would order from this shop again, but pay more attention to the text.","1511822293"
"Paul","12/01/2019","4","Very Cute she loved it","1523092317"
"Adela","12/01/2019","5","Awesome little card! My friend loves sloths, and she loved this card! Perfect birthday card for your fellow sloth lover. 🦥💕","1515912312"
"Emily","11/29/2019","5","This item is perfect! I am thrilled. Thank you so much!","1532530514"
"Evan","11/28/2019","5","I must order from ImPaper every few months because the cards on the shop are amazing and allow me to add a personal touch to events. The cards are consistently of a high quality and I haven't had any issues with the way they look once they're delivered.","1505173405"
"Alana","11/27/2019","5","So cutie! This calendar is going to be a perfect gift for my daughter. Also loved the fast, free shipping!","1529547186"
"jschapp","11/26/2019","5","So cute! I bought this for a friend’s wedding and it was perfect!","1497582360"
"blue996","11/26/2019","5","Nice card and fast shipping.","1537260561"
"blue996","11/26/2019","5","Very cute calendar. Paper is nice quality.","1537260561"
"amandadoggett","11/24/2019","5","","1535541383"
"Rachel","11/23/2019","5","Very cute item that arrived in a timely manner as well.","1529466107"
"Brian","11/16/2019","5","","1498597344"
"Susie","11/11/2019","5","","1516947898"
"Lulu","11/10/2019","5","","1518670048"
"DawnHibbard","11/08/2019","5","A perfect experience ... a darling card.","1514006076"
"Rakhshi","11/07/2019","5","Love this item! Delivery was quicker than expected and arrived in perfect condition :)","1521545973"
"Heather","11/03/2019","5","","1523874463"
"maureenpeare","10/30/2019","5","","1508625404"
"Mel","10/28/2019","5","","1474761096"
"okostic","10/27/2019","5","Love the creativity!","1523912035"
"kcalbkayluv","10/27/2019","5","","1490674998"
"Keri","10/26/2019","5","","1519204923"
"marlylevene","10/23/2019","5","Very cute and arrived so quickly! I've ordered from this shop a few times now, and will keep coming back.","1511393634"
"laceywebbie1","10/23/2019","5","On time! Cute! Loved it overall.","1504797756"
"Heather","10/22/2019","5","","1509449067"
"Heather","10/22/2019","5","Adorable card, great quality!","1509449067"
"Lily","10/20/2019","5","","1501680490"
"Natasha","10/20/2019","5","","1517955667"
"Abigail","10/16/2019","5","","1516532469"
"Abigail","10/16/2019","5","","1516532469"
"yellowboardfreeform","10/11/2019","5","","1510355017"
"Lexi","10/11/2019","5","","1499047380"
"Shelby","10/05/2019","5","","1515258757"
"Jen","10/05/2019","5","Great card & fast shipping! Thank you!","1512093143"
"Michelle","10/04/2019","4","Super cute, smaller than I expected though.","1504427682"
"Ashley","10/03/2019","5","","1499345648"
"Natalie","10/02/2019","5","","1508058321"
"Jessica","09/28/2019","5","This card is adorable and printed on high quality paper. Thank you!","1509432353"
"JENNIFER","09/27/2019","5","","1497997720"
"Nycki","09/23/2019","5","","1487658916"
"Nicole","09/23/2019","5","","1493626944"
"Daniella","09/23/2019","5","Super cute card, great quality, and fast shipping.","1474879865"
"Emily","09/23/2019","5","","1503902689"
"Alyce","09/22/2019","5","Very timely message. I bought this for the church secretary, and she is displaying it in the lobby outside her office door. Had some nice comments about it!","1494870326"
"donlu","09/22/2019","5","I am very please with the print!","1494413604"
"Sydney","09/20/2019","5","","1482559327"
"aztennis15","09/16/2019","5","Excellent card and super fast shipping!","1501074295"
"daniellesicurella","09/15/2019","5","Exactly as pictured. Would definitely purchase again!","1491279298"
"Bethany","09/11/2019","5","","1492020580"
"Bethany","09/11/2019","5","","1492020580"
"Bethany","09/11/2019","5","","1492020580"
"Bethany","09/11/2019","5","","1492020580"
"moriahis","09/07/2019","5","","1490553523"
"Sara","09/06/2019","5","","1479954824"
"Krystyna","09/06/2019","5","This card is so cute!  The quality is great, as well.  My partner loved it :)","1490282124"
"Evan","09/03/2019","5","","1499322005"
"redburton86","09/02/2019","5","","1494272405"
"naomib90","08/27/2019","4","Bought this for a friend, cute and unusual, loved it 😊","1478507254"
"Alice","08/27/2019","5","","1471166742"
"jkmeehan12","08/26/2019","5","Very cute card! Surprising my boyfriend with this on his first day of his new job - he likes pickles very fitting!!","1495878765"
"alsirard","08/22/2019","5","","1494462661"
"Megan","08/22/2019","4","Really cute and he loved it","1473716225"
"FelixGold","08/17/2019","5","Fantastic art and great quality.","1459768679"
"Jennifer","08/16/2019","5","","1489697243"
"Bruce","08/15/2019","5","","1488700665"
"ERIN","08/12/2019","5","","1477498124"
"Jessica","08/11/2019","5","","1475045518"
"kottonkandyk","08/11/2019","5","Such a cute card! My cousin absolutely loves bubble tea and puns, so this card was perfect for her!","1489121523"
"Chris","08/10/2019","5","","1486942351"
"Morgan","08/10/2019","5","","1477204370"
"Grace","08/08/2019","5","","1486217515"
"Christine","08/08/2019","5","This card was so cute. My husband loves it!","1473551570"
"Aundrea ","08/04/2019","5","","1486343411"
"richardcornish03411","07/31/2019","5","","1474927500"
"Hallie","07/28/2019","5","","1474706510"
"Kayla","07/28/2019","5","This card is perfect! I ordered it to use as part of a bridesmaid invitation for a friend who absolutely loves cats, and this helped make it personal. It looks just as advertised and arrived promptly. I know she's going to love it!","1466212436"
"OhHappyDayCreations","07/26/2019","5","","1475290032"
"Jessica","07/26/2019","5","","1474586436"
"Brooke","07/24/2019","5","","1478309847"
"stacyrenkema","07/23/2019","5","Very cute card, quick shipping!","1474794362"
"ambercordell3","07/23/2019","5","So cute!! Perfect for my friends wedding!","1474943309"
"Bruce","07/19/2019","5","","1478067723"
"asgomez52","07/17/2019","5","","1469449634"
"Emily","07/17/2019","5","Absoluely love it!","1469384779"
"jackisemaan","07/17/2019","5","","1480150923"
"Winnie","07/15/2019","5","","1468431048"
"Rebecca","07/14/2019","5","Cute and unique cards. I will purchase again. Arrived quickly.","1461630574"
"feistypeacenik","07/09/2019","5","","1468912685"
"Nataly","07/08/2019","5","Very cute cards! Thank you.","1468204086"
"nicolegidman1","07/08/2019","5","","1469360582"
"Lisa","07/08/2019","5","","1464624526"
"Brittney","07/03/2019","5","","1474508199"
"Jennifer","07/03/2019","5","","1474071657"
"clairen8490","06/30/2019","5","","1451594733"
"Delia","06/26/2019","5","","1460414330"
"Johnny","06/26/2019","5","Not only does the card look amazing (arrived in perfect condition), but the shop was also super helpful when responding to my questions!","1469469229"
"Krysta","06/25/2019","5","","1459924510"
"Brianna","06/21/2019","5","Super cute bookmark! Fast shipping! Will order again very soon!","1460009408"
